seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
5F2501D4-BLACK-5/6	B01M029EGG	B01M029EGG	NewItem	SELLABLE	0
5F52170-LILAC-12M	B00VE0B3YM	B00VE0B3YM	NewItem	SELLABLE	0
5F2552D4-BLACK-4	B01M11D28K	B01M11D28K	NewItem	SELLABLE	0
5F2501D5-BLACK-8/10	B01LZ321GR	B01LZ321GR	NewItem	SELLABLE	0
5F2552C1-BLACK-4T	B01LY3XMWG	B01LY3XMWG	NewItem	SELLABLE	0
5F2552C3-BLACK-14/16	B01LX3UTPC	B01LX3UTPC	NewItem	SELLABLE	0
5F2552D5-BLACK-8/10	B01LYRBYT0	B01LYRBYT0	NewItem	SELLABLE	0
5F52670-PINK-12M	B00VE0AM1W	B00VE0AM1W	NewItem	SELLABLE	0
2F60503 - PINK - SIZE 10/12	B01NADNAA1	B01NADNAA1	NewItem	SELLABLE	0
5F67597-LIME-XL	B076B3SSDN	B076B3SSDN	NewItem	SELLABLE	0
5F4209A1-VANILLA-3T	B0131JQCPI	B0131JQCPI	NewItem	SELLABLE	0
5F52171-LILAC-3T	B013UNVFDY	B013UNVFDY	NewItem	SELLABLE	0
5F2552C1-BLACK-2T	B01LWT1U1J	B01LWT1U1J	NewItem	SELLABLE	0
2F60503 - BLACK - SIZE 7/8	B01NBF0Y63	B01NBF0Y63	NewItem	SELLABLE	0
5F2501D4-BLACK-4	B01LZQFZ6K	B01LZQFZ6K	NewItem	SELLABLE	0
5F4209A1-Black-2T	B0131LNSPS	B0131LNSPS	NewItem	SELLABLE	0
5F4209A1-PINK-3T	B013UNV4N0	B013UNV4N0	NewItem	SELLABLE	0
5F2501C8-BLACK-S	B01LYRC1UC	B01LYRC1UC	NewItem	SELLABLE	0
5F4209A1-PINK-2T	B013UNUVFW	B013UNUVFW	NewItem	SELLABLE	0
5F2552D5-BLACK-16/18	B01LZ322R7	B01LZ322R7	NewItem	SELLABLE	0
5F2552D4-BLACK-6X/7	B01M11CP7N	B01M11CP7N	NewItem	SELLABLE	0
5F2501C7-BLACK-XL	B01LZ320MV	B01LZ320MV	NewItem	SELLABLE	0
5F4209A1-VANILLA-4T	B0131M4FE0	B0131M4FE0	NewItem	SELLABLE	0
5F52671-PINK-3T	B013UNVT3A	B013UNVT3A	NewItem	SELLABLE	0
2F60503 - BLACK - SIZE 14	B01MSTLD80	B01MSTLD80	NewItem	SELLABLE	0
5F52171-LILAC-2T	B013UNTA7W	B013UNTA7W	NewItem	SELLABLE	0
2F6388A5 - HTHR GREY - SIZE 10/12	B01N6BAUZY	B01N6BAUZY	NewItem	SELLABLE	0
5F2501C7-BLACK-M	B01M029EFM	B01M029EFM	NewItem	SELLABLE	0
5F52670-Black-18M	B00VE0AMOO	B00VE0AMOO	NewItem	SELLABLE	0
5F52671-TAN-3T	B013F64PL0	B013F64PL0	NewItem	SELLABLE	0
5F2501C3-BLACK-10/12	B01LYVXZYI	B01LYVXZYI	NewItem	SELLABLE	0
5F52671-Black-2T	B013UNT9Y6	B013UNT9Y6	NewItem	SELLABLE	0
2F60503 - PINK - SIZE 16	B01MTV33F7	B01MTV33F7	NewItem	SELLABLE	0
5F2501D4-BLACK-6X/7	B01M11CSFN	B01M11CSFN	NewItem	SELLABLE	0
5F2501D5-BLACK-16/18	B01M11CS1X	B01M11CS1X	NewItem	SELLABLE	0
5F2552C3-BLACK-10/12	B01MFH8VX2	B01MFH8VX2	NewItem	SELLABLE	0
5F52671-Black-4T	B013UNVTOY	B013UNVTOY	NewItem	SELLABLE	0
2F6388A5 - HTHR GREY - SIZE 8	B01N2ODHXI	B01N2ODHXI	NewItem	SELLABLE	0
5F52170-LILAC-18M	B00VE0B94Q	B00VE0B94Q	NewItem	SELLABLE	0
2F60503 - BLACK - SIZE 16	B01MZZQP3J	B01MZZQP3J	NewItem	SELLABLE	0
5F56967-LIME-XL	B076B2VKZ6	B076B2VKZ6	NewItem	SELLABLE	45
5F52671-PINK-4T	B013UNVUMU	B013UNVUMU	NewItem	SELLABLE	0
5F56967-LIME-M	B076B4BJWK	B076B4BJWK	NewItem	SELLABLE	0
5F4209A1-PINK-4T	B013UNV3VS	B013UNV3VS	NewItem	SELLABLE	0
5F52479-PINK-6/9M	B00V85GRBC	B00V85GRBC	NewItem	SELLABLE	0
5F52479-PINK-3/6M	B00V85GRFI	B00V85GRFI	NewItem	SELLABLE	0
5F52671-TAN-2T	B013H0X3X0	B013H0X3X0	NewItem	SELLABLE	0
2F60503 - PINK - SIZE 7/8	B01N7CP1O6	B01N7CP1O6	NewItem	SELLABLE	0
5F4209A1-Black-4T	B0131JJIFO	B0131JJIFO	NewItem	SELLABLE	0
5F2552C2-BLACK-6X/7	B01LZENND1	B01LZENND1	NewItem	SELLABLE	0
5F52671-TAN-4T	B013F64S62	B013F64S62	NewItem	SELLABLE	0
5F7374B1-BLACK-3T	B075741PL7	B075741PL7	NewItem	SELLABLE	0
5F4209A1-Black-3T	B0130MBCLA	B0130MBCLA	NewItem	SELLABLE	0
5F52670-TAN-18M	B00VE0AV5Y	B00VE0AV5Y	NewItem	SELLABLE	0
5F2501C8-BLACK-M	B01LZEO292	B01LZEO292	NewItem	SELLABLE	0
5F2501C8-BLACK-XL	B01LZQFIWY	B01LZQFIWY	NewItem	SELLABLE	0
5F52170-LILAC-24M	B00VE0B446	B00VE0B446	NewItem	SELLABLE	0
326-11-V-LILAC-LT-39	X001WUKCRJ	B07CRKTP52	NewItem	SELLABLE	0
5F2501C3-BLACK-14/16	B01M1RRV4V	B01M1RRV4V	NewItem	SELLABLE	0
5F52671-PINK-2T	B013UNVT62	B013UNVT62	NewItem	SELLABLE	0
5F2501C8-BLACK-L	B01LX4OHCP	B01LX4OHCP	NewItem	SELLABLE	0
