sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5
HBK00287-RED CLAY-10/12	B074TLXGLL	16.99													
HBK00287-RED CLAY-14/16	B074TJZSZ5	14.99													
HBK00287-RED CLAY-18/20	B074TX1N15	16.99													
HBP8372-ANTELOPE(251)-10/12	B07DCYWQPG	21.99		21.99	percent	5	5.00								
HBP8372-ANTHRACITE(002)-8	B07DCZJRS1	21.99		21.99	percent	5	5.00								
HBP8372-DRESS_BLUE(415)-10/12	B07DD13NZJ	19.99		19.99	percent	5	5.00								
HBP8372-FOREST_NIGHT(002)-10/12	B07RWQCV4V	24.99													
HBP8372-FOREST_NIGHT(002)-14/16	B07RS4MN2X	24.99													
HBP8372-FOREST_NIGHT(002)-8	B07RWDZRSD	24.99													
HBP8372-GARGOYLE(020)-10/12	B07DCYRH1F	24.99		24.99	percent	5	5.00								
HBP8372-OATMEAL(230)-10/12	B07DCZJ662	19.99		19.99	percent	5	5.00								
HBP8372-OATMEAL(230)-14/16	B07DCY53B1	19.99		19.99	percent	5	5.00								
HBP8372-OATMEAL(230)-8	B07DCXYRFM	19.99		19.99	percent	5	5.00								
HBP8372-RIO_RED(601)-10/12	B07DCZ2R79	22.99		22.99	percent	5	5.00								
HBP8372-RIO_RED(601)-14/16	B07DCYY6GZ	22.99		22.99	percent	5	5.00								
HBP8376-ANTELOPE(251)-10/12	B07DCZ2R75	21.99		21.99	percent	5	5.00								
HBP8376-ANTELOPE(251)-14/16	B07DCZPVPB	21.99		21.99	percent	5	5.00								
HBP8376-ANTELOPE(251)-8	B07DCZF7PG	21.99		21.99	percent	5	5.00								
HBP8376-ANTHRACITE(002)-10/12	B07DCZL1XJ	19.99		19.99	percent	5	5.00								
HBP8376-ANTHRACITE(002)-14/16	B07DCYK582	21.99		21.99	percent	5	5.00								
HBP8376-ANTHRACITE(002)-8	B07DCZJJFQ	19.99		19.99	percent	5	5.00								
HBP8376-DRESS_BLUE(415)-10/12	B07DD12DQT	19.99		19.99	percent	5	5.00								
HBP8376-FOREST_NIGHT(302)-14/16	B07DCYLHNK	19.99		19.99	percent	5	5.00								
HBP8376-FOREST_NIGHT(302)-8	B07DCZ4K42	19.99		19.99	percent	5	5.00								
HBP8376-GARGOYLE(020)-10/12	B07DCZ37VB	21.99		21.99	percent	5	5.00								
HBP8376-GARGOYLE(020)-14/16	B07DCZ4XW8	21.99		21.99	percent	5	5.00								
HBP8376-OATMEAL(230)-10/12	B07DCZCJH8	14.99		14.99	percent	5	5.00								
HBP8376-OATMEAL(230)-8	B07DCXYRFN	18.99		19.99	percent	5	5.00								
HBP8376-RIO_RED(601)-10/12	B07DCZN836	19.99		19.99	percent	5	5.00								
HBP9717-BLACK(001)-10/12	B07T3FM6KP	21.99													
HBP9717-BLACK(001)-14/16	B07T3GGY42	21.99													
HBP9717-BLACK(001)-18	B07T4GYXM6	21.99													
HBP9717-BLACK(001)-4/5	B07T2F1ZM8	21.99													
HBP9717-BLACK(001)-6/7	B07T3GPFDQ	21.99													
HBP9717-BLACK(001)-8	B07T3FDBW8	21.99													
HBP9717-GREY(020)-10/12	B07SZ99T1Z	21.99													
